Name,Price,Vibe - fixed keywords,Optional tags,"Category - meals, drinks, shisha, cafe","Al Fresco, Indoor",Licensed,Shisha,Area,Full Name,Landmark
Electric Pawn Shop,,"Chill, Dim, Fancy",,Bar,Indoor,Yes,No,Business Bay,Electric Pawn Shop Dubai,The Opus by Zaha Hadid
Miss Lilys,,"Chill, Vibey, Dim",,Bar,Indoor,Yes,No,,,
Amazonico,,"Fancy, Vibey, Dim",,Bar,"Indoor, Al Fresco",Yes,No,,,
Bla Bla,,"Beachy, Vibey",,Bar,Al Fresco,Yes,No,,,
Zeta 77,,"Fancy, Vibey",,Bar,Al Fresco,Yes,No,,,
The 44,,"Casual, Chill, Activity",,Bar,"Indoor, Al Fresco",Yes,No,,,
Brass Monkey,,"Casual, Comfort, Chill, Activity",,Bar,Indoor,Yes,No,,,
Coco Bay,,"Beachy, Chill, Comfort",,Bar,Al Fresco,Yes,No,,,
Moes on the 5th,,"Fancy, Vibey, Dim",,Bar,Indoor,Yes,No,,,
Luna,,"Fancy, Chill",,Bar,Al Fresco,Yes,No,,,
Salmon Guru,,"Casual, Vibey, Chill",,Bar,Indoor,Yes,No,,,
Agora,,"Fancy, Dim, Vibey",,Bar,Indoor,Yes,No,,,
Smokeys,,"Beachy, Chill, Comfort",,Bar,Al Fresco,No,Yes,,,
Lucky Fish,,"Fancy, Chill, Beachy",,Restaurant,Al Fresco,Yes,Yes,,,
Urla,,"Fancy, Vibey, Chill",,Restaurant,Al Fresco,Yes,Yes,,,
Tree House,,"Comfort, Chill",,Bar,Al Fresco,Yes,Yes,,,
Cafe Haroun,,"Comfort, Casual, Chill",,Cafe,"Indoor, Al Fresco",No,Yes,,,
Ave,,"Comfort, Casual, Chill",,Cafe,"Indoor, Al Fresco",No,Yes,,,
Kana,,"Comfort, Chill, Casual",,Cafe,"Indoor, Al Fresco",No,Yes,,,
Home Bakery,,"Fancy, Comfort, Chill",,Cafe,Indoor,No,No,,,
Mamaesh,,"Casual, Middle Eastern, Chill, Chai",,Cafe,"Indoor, Al Fresco",No,No,,,
East West,,"Fancy, Coffee",,Cafe,Indoor,No,No,,,
Riders Cafe,,"Comfort, Breakfast, Chill",,Cafe,Indoor,No,No,,,
Allo Beirut,,"Comfort, Middle Eastern",,Restaurant,Indoor,No,No,,,
Kinoya,,"Asian, Comfort, Chill",,Restaurant,"Indoor, Al Fresco",Yes,No,,,
Tom and serg,,"Comfort, Chill, Breakfast",,Cafe,Indoor,No,No,,,
Villa 515,,"Cute, Pretty, Chill",,Cafe,"Indoor, Al Fresco",No,No,,,
Brix,,"Cute, Sunny, Breakfast
",,Cafe,"Indoor, Al Fresco",No,No,,,
LDC cafe,,"Cute, Comfort, Breakfast",,Cafe,"Indoor, Al Fresco",No,No,,,
Angel cakes,,"Sunny, Cute",,Cafe,"Indoor, Al Fresco",No,No,,,
Mamafri,,"Asian, Comfort",,Restaurant,Indoor,No,No,,,
Plain,,"Cute, Comfort, Chill",,Cafe,Indoor,No,No,,,
Fi'lia,,"Chill, Middle Eastern, Views",,Restaurant,"Indoor, Al Fresco",No,No,,,
Juns,,"Fancy, Asian, Chill",,Restaurant,Indoor,Yes,No,,,
Loona,,"Fancy, Italian, Chill",,Restaurant,Indoor,Yes,No,,,
Honeycomb,,"Fancy, Asian, DJ, Vibey",,Restaurant,"Indoor, Al Fresco",Yes,No,,,
La Cantine da farboug,,"Fancy, DJ, Vibey",,Bar,Indoor,Yes,No,,,
Gohan,,"Fancy, Asian, DJ",,Restaurant,Indoor,Yes,No,,,
Tresind,,"Fancy, Indian",,Restaurant,Indoor,Yes,No,,,
The crossing,,"Chill, Indian, Fancy",,Restaurant,Indoor,Yes,No,,,
Eugene Eugene,,"Fancy, Chill",,Restaurant,"Indoor, Al Fresco",Yes,No,,,
The Maine,,"Fancy, Chill, Dim",,Restaurant,Indoor,Yes,No,,,
Eva by Three,,"Casual, Chill, Middle Eastern",,Restaurant,"Indoor, Al Fresco",No,No,,,
Sushi Samba,,"Views, Fancy",,Restaurant,Indoor,Yes,No,,,
Amelia,,"Fancy, Vibey, Dim",,Restaurant,Indoor,Yes,No,,,
Tan Cha,,"Fancy, Asian, Chill",,Restaurant,"Indoor, Al Fresco",Yes,No,,,
Nineve,,"Fancy, Indian, Chill",,Restaurant,"Indoor, Al Fresco",Yes,No,,,
Kaak,,"Casual, Chai",,Cafe,"Indoor, Al Fresco",No,No,,,
Saddle,,"Drive In, Casual",,Cafe,Indoor,No,No,,,
Pitfire Pizza,,"Vibey, Chill",,Restaurant,Indoor,Yes,No,,,
Raju's Omlet,,"Casual, Chai",,Cafe,"Indoor, Al Fresco",No,No,,,
Tashas,,"Chill, Comfort, Cute",,Cafe,"Indoor, Al Fresco",No,No,,,
Woodfire,,"Fancy, Meat",,Restaurant,Indoor,Yes,No,,,
Daikan,,"Chill, Asian, Vibey",,Restaurant,Indoor,Yes,No,,,
Nolas C2,,"Fancy, Vibey, Dim",,Restaurant,Indoor,Yes,No,,,
Nolas JLT,,"Chill, Vibey, Dim",,Restaurant,Indoor,Yes,No,,,
Fusion Ceviche,,"Casual, Fresh, Chill",,Restaurant,"Indoor, Al Fresco",No,No,,,
Hashmis,,"Casual, Comfort",,Restaurant,Indoor,No,No,,,
Dampa Seafood,,"Casual, Comfort",,Restaurant,Indoor,No,No,,,
Thea,,"Pretty, Fancy, Sunny",,Cafe,"Indoor, Al Fresco",No,No,,,
Moonslice,,"Chill, Comfort",,Restaurant,"Indoor, Al Fresco",No,No,,,
ZaZa Pizza,,"Chill, Comfort, Drive In",,Restaurant,Indoor,No,No,,,
Courtyard One & Only,,"Fancy, Middle Eastern, Quiet",,Bar,Al Fresco,Yes,No,,,
Mott 32,,"Fancy, Dim, Asian",,Restaurant,"Indoor, Al Fresco",Yes,No,,,
Bait Maryam,,"Breakfast, Cute, Middle Eastern",,Cafe,Indoor,No,No,,,
21 Grams,,"Breakfast, Chill, Middle Eastern",,Cafe,Indoor,No,No,,,
Harbour Cafe,,"Sunny, Chill, Comfort",,Cafe,Al Fresco,No,No,,,
LPM,,"Fancy, Vibey",,Restaurant,Indoor,Yes,No,,,
Zuma,,"Vibey, DJ, Fancy",,Restaurant,Indoor,Yes,No,,,
Alma,,"Quiet, Dim, Fancy",,Bar,Al Fresco,Yes,No,,,
Josette,,"Fancy, Pretty, Vibey, Coffee",,Cafe,Indoor,No,No,,,
The Guild,,"Fancy, Pretty, Vibey",,Restaurant,Indoor,Yes,No,,,
Hawkerboi,,"Asian, Dim, Vibey",,Restaurant,"Indoor, Al Fresco",Yes,No,,,
Jamavar,,"Fancy, Chill, Dim, Indian",,Restaurant,Indoor,Yes,No,,,
Hadilao Hot Pot,,"Casual, Comfort, Asian, Activity",,Restaurant,Indoor,No,No,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
